model,seed,brier,logloss,auc,auc_btc,auc_eth,auc_sol,auc_xrp
PRISM,2024,0.25006,0.69329,0.52643,0.52295,0.52716,0.53703,0.51861
PRISM,2025,0.25109,0.69541,0.52314,0.52356,0.52647,0.52982,0.51270
PRISM,2026,0.25151,0.69624,0.51127,0.51698,0.50833,0.50988,0.50987
MoLE,2024,0.26303,0.72138,0.48367,0.49209,0.47517,0.47731,0.49012
MoLE,2025,0.25875,0.71199,0.49432,0.50223,0.49464,0.48495,0.49546
MoLE,2026,0.25878,0.71246,0.49864,0.50520,0.49564,0.49074,0.50297
AdaLinear,2024,0.26577,0.72696,0.47543,0.48349,0.46390,0.46984,0.48447
AdaLinear,2025,0.26602,0.73052,0.48372,0.48864,0.47586,0.47654,0.49385
AdaLinear,2026,0.26439,0.72373,0.47618,0.48514,0.46705,0.46635,0.48618
