variant,params_M,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAE_btc_mean,MAE_eth_mean,MAE_sol_mean,MAE_xrp_mean,dMAE_vs_full
PRISM (full),0.073605,0.49251052841732246,0.0,0.5011373923546187,0.0,0.49108835312182125,0.4941653335913702,0.4923045108005119,0.4924839161555864,0.0
-cross-channel ctx,0.073605,0.4924730317176865,0.0,0.5011054478039662,0.0,0.4909707823330245,0.4943338695560008,0.49214446561366615,0.49244300936805474,-3.74966996359305e-05
-hypernetwork,0.073605,0.49252774950609746,0.0,0.5011378942100011,0.0,0.49118472193378665,0.4940076933223658,0.4925978733257135,0.4923207094425239,1.722108877499906e-05
-RevIN,0.073605,0.49229539884145485,0.0,0.4989663215461302,0.0,0.4909924145556321,0.49311376074977764,0.4920923010998655,0.4929831189605442,-0.00021512957586761194
-frequency bank,0.073605,0.4940530342050332,0.0,0.5057950410169573,0.0,0.4915517273769584,0.49668996319585784,0.49304157620894123,0.4949288700383754,0.0015425057877107573
-regime,0.073605,0.4924702433683762,0.0,0.5011010721579716,0.0,0.4910717763985468,0.49411010385507065,0.4922474347971042,0.4924516584227831,-4.028504894626472e-05
-cross-modal,0.073605,0.49234755165167865,0.0,0.5009715392285724,0.0,0.49108364538591337,0.49360941592194646,0.4921004343055129,0.4925967109933419,-0.00016297676564380748
