model,params_M,train_s,MAE_avg,RMSE_avg,MAE_btc,MAE_eth,MAE_sol,MAE_xrp,RMSE_btc,RMSE_eth,RMSE_sol,RMSE_xrp,best_val_mse
LSTM,0.208912,15.299014329910278,0.48444562585531437,0.49283014510373524,0.4840605531743891,0.48428644521867414,0.4849861843272359,0.4844493207009583,0.4921493643317999,0.493211817987675,0.4933810912382858,0.4925783068571804,0.9957765340805054
TSMixer,0.029249,16.569225788116455,0.4883632990902086,0.4929818579918405,0.4890361598478822,0.48768061835867854,0.48844627918418726,0.4882901389700864,0.4931157960598431,0.49291855277660945,0.49289240811829726,0.4930006750126121,0.9992642547145034
PRISM,0.073605,86.74733662605286,0.48954164501982145,0.4948791725749573,0.48957849886451393,0.4898344958829804,0.48935265699770486,0.4894009283340865,0.4946102963757515,0.49545828201364445,0.4942101329694864,0.4952379789409469,1.0136704517133308
Autoformer,0.126736,154.9110951423645,0.4896901779053895,0.4963175377199933,0.48999882620979224,0.48966478507983513,0.48947822673573926,0.4896188735961914,0.49623220752622094,0.4963229664401065,0.4962197812576667,0.4964951956559791,1.0140069494343766
Linear,0.001552,34.47945523262024,0.48981201977435085,0.4946088769875774,0.4896103373798062,0.48974015013729527,0.489202514201072,0.4906950773792297,0.49405101218922903,0.49480294517046197,0.4938072561516914,0.49577429443892707,1.0100085789507085
DLinear,0.003104,60.16016244888306,0.4898561099818694,0.4948454434501264,0.4898961017324505,0.4897024475073474,0.4889560194665392,0.49086987122114034,0.4943153180797377,0.4949455015766364,0.4939085440015486,0.49621241014258277,1.010099344783359
SAMBA,0.159601,2189.4217643737793,0.49000467853576374,0.49379628026624567,0.4896681877777051,0.490370291575388,0.49040140946958033,0.4895788253203814,0.49328262893196945,0.49439651054541484,0.49393701513202065,0.4935689664555779,1.0108613407973088
Transformer,0.476048,24.462098598480225,0.49006768111759436,0.49451214288358564,0.49104455533760666,0.48954667606746716,0.489491149249432,0.49018834381587156,0.4948462424790211,0.49413930170260717,0.4943084018104047,0.49475462554230965,1.01230903165509
NLinear,0.001552,34.84515738487244,0.49045943639546674,0.49703377864803516,0.490742320077355,0.4903861391941077,0.48972466736323483,0.49098461894716966,0.49704518304375916,0.49701820255672186,0.49592432289985405,0.4981474060918056,1.0208000998304347
RLinear,0.001584,50.10577034950256,0.49048106205633435,0.49710136490175194,0.4906129682876418,0.49047099172407777,0.48979626759863126,0.49104402061498675,0.4969449078304473,0.49707747903710164,0.4960374947229356,0.49834557801652324,1.020811585464863
FEDformer,0.167696,343.9988830089569,0.49067405868445635,0.4996270902254155,0.4915753360028879,0.48939943419394516,0.4903386141721118,0.49138285036888063,0.49962697237903547,0.4980136197532367,0.498602975748959,0.5022647930204309,1.0202259788609513
Mean=0.5,0.0,0.0,0.4908036905309856,0.4933557495715001,0.4913383278340432,0.49049314689333956,0.490671282373782,0.49071200502277745,0.4936083617213073,0.49321249903724484,0.4933095245114516,0.4932926130159965,
SegRNN,0.025697,21.96705389022827,0.4908898683055267,0.49504209162395796,0.49085171150896706,0.4903081833466108,0.4908835548606425,0.49151602350588647,0.49465740718528695,0.4944950255229444,0.4947903293624744,0.4962256044251262,1.0103154892873283
TimesNet,4.701265,122.06996154785156,0.4909780577887824,0.495635426524343,0.49174058252204617,0.48987089208491064,0.4913964013101182,0.49090435523805453,0.4958699318647026,0.49488270715914157,0.4957553166830745,0.49603375039045344,1.0157293400379142
StockMixer,0.010521,206.23577070236206,0.4909927118032368,0.4953894714214225,0.4908829255262759,0.4910708912578891,0.4905762885527452,0.4914407418760369,0.49516806676611974,0.49562729193658295,0.4951542246827792,0.495608302300208,1.0113838983304573
TimeXer,0.109313,33.27226400375366,0.49102767235503525,0.4962765712320142,0.4919220629660339,0.49051689806906434,0.49067777733417395,0.4909939510508687,0.49661378057253497,0.49629268394618026,0.4957123937560372,0.4964874266533045,1.0178258196272032
PatchTST,0.069603,27.5636990070343,0.49137449513902376,0.49621371769972267,0.4917434248040104,0.49148396674880135,0.4909184681065676,0.49135212089671576,0.4963963937970534,0.49619121845247105,0.4956785774263397,0.4965886811230264,1.0143139229880438
TimeMixer,0.086892,54.14154553413391,0.49164948032699557,0.497333152494147,0.4917057176399533,0.4922341411729622,0.4911912999704787,0.49146676252458815,0.4971712170713366,0.497847812928473,0.496658236302153,0.4976553436746255,1.0200629101859198
iTransformer,0.073345,23.13406538963318,0.493916303420029,0.5014745903618686,0.49485094037184435,0.49457627340277477,0.49317902778105577,0.4930589721244413,0.5018288813432308,0.5019847443905154,0.5005784749446923,0.5015062607690358,1.0416541797946197
Persistence,0.0,0.0,0.5054974021700029,0.7042271667251297,0.517567339865417,0.5053372142809884,0.5019587850797385,0.49712626945386784,0.7130716260705661,0.7038767683364199,0.701679629405889,0.6982806430876441,
