variant,params_M,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAE_btc_mean,MAE_eth_mean,MAE_sol_mean,MAE_xrp_mean,dMAE_vs_full
PRISM (full),0.073605,0.4892993692487746,0.00017137218351718136,0.49458006078569516,0.00031582896038373997,0.4895249580870969,0.48980733566163265,0.48855009507200925,0.4893150881743595,0.0
-cross-channel ctx,0.073605,0.4893877455625217,0.0003578550126899048,0.49398353990166494,0.0004772320637374643,0.489756766942463,0.4890260647039721,0.4887699641062983,0.48999818649735327,8.837631374708499e-05
-hypernetwork,0.073605,0.49650525273435403,0.00026422759190531487,0.5103832540848573,0.00018355116928667583,0.497353352961311,0.49818577995642865,0.4954988920934227,0.4949829859262538,0.007205883485579434
-RevIN,0.073605,0.4893609523773194,0.00013400535400332842,0.49404151975129035,0.00020043552389714843,0.48951715337367396,0.4898126998151728,0.4887687602499082,0.48934519607052246,6.158312854481762e-05
-frequency bank,0.073605,0.495256646348255,6.785943445571654e-05,0.5061242024997491,0.0008709854438139842,0.49583575293555565,0.4964238393010756,0.4940934074913706,0.4946735856650182,0.005957277099480407
-regime,0.073605,0.4895106712095459,0.0001012269892441157,0.49417017204467095,0.0003475110996647712,0.48959668416921515,0.49002608839821954,0.4887671994079816,0.48965271286276746,0.00021130196077129293
-cross-modal,0.073605,0.48934620548919344,0.00010620316549088751,0.49379960892024705,9.783668311884509e-05,0.48995380280701745,0.4891722997029622,0.48831393629296777,0.4899447831538261,4.683624041884604e-05
-all cross-channel,0.073605,0.4896958429978377,0.00016453236302364812,0.4938422145310979,0.00012278750479636393,0.48990982920167564,0.4896278096202562,0.4888401624958665,0.49040557067355217,0.0003964737490630976
