model,params_M,train_s,MAE_avg,RMSE_avg,MAE_btc,MAE_eth,MAE_sol,MAE_xrp,RMSE_btc,RMSE_eth,RMSE_sol,RMSE_xrp,best_val_mse
LSTM,0.208912,22.85358500480652,0.4858745921054846,0.49161918825741674,0.4862781566976556,0.48551545936596563,0.4856122589715876,0.4860924933867296,0.4918519892249356,0.4917823958156098,0.49117919764717005,0.49166317034195167,0.991611017121209
TSMixer,0.029249,31.296541452407837,0.48834914186299316,0.49250169790762444,0.48880747509456096,0.48758553506455216,0.4883020639797398,0.48870149331311985,0.4922430084159117,0.4918334933014652,0.49241070973308726,0.49351958018003356,0.9996424654517511
PRISM,0.073605,191.43989491462708,0.4891728021830273,0.49414324020219874,0.48999396624920294,0.48972990456171533,0.4878296264188981,0.48913771150229285,0.4947278688601816,0.49479092439158895,0.49308734540404975,0.49396682215297466,1.008739046978228
FEDformer,0.167696,536.991427898407,0.48944494010151474,0.4972550185477226,0.48955923887515784,0.4885989326682597,0.48921733227471353,0.49040425658792774,0.4964898867567777,0.49662943882008453,0.497857159482594,0.4980435891314341,1.0191914884731024
DLinear,0.003104,121.30994391441345,0.4898652235415016,0.49470311970115904,0.4895868733643352,0.4897940259350083,0.48924959639172927,0.4908303984749336,0.49397556749727917,0.4949720785547898,0.49386013640550763,0.49600469634705946,1.0099054833855292
Linear,0.001552,65.1750419139862,0.4899257774776211,0.4946976865498517,0.4898292051820105,0.48974863466483476,0.4893542254972382,0.49077104456640086,0.494157850176356,0.4947950995025988,0.4940048370992906,0.4958329594211613,1.0098352570726414
TimeMixer,0.086892,104.63358879089355,0.49007626728475,0.4976052646092877,0.48958916218269455,0.490514515848054,0.4894643925638093,0.4907369985444421,0.496898692785269,0.4982623455166617,0.49681310634820774,0.49844691378701245,1.0204042015653667
SAMBA,0.159601,2517.8856258392334,0.4901047448915461,0.49358459490462364,0.49056721368417877,0.489128154809048,0.4910712754480812,0.4896523356248762,0.4934538918654672,0.49258784206867273,0.4947499136644179,0.4935467320199367,1.0040052563253075
Transformer,0.476048,40.98074412345886,0.4902973623925646,0.49436968946759186,0.4916157167800444,0.48947109307048814,0.4899489585646737,0.49015368115505215,0.49551282193827173,0.49359570298004074,0.49416162355629384,0.4942086093957611,1.0109494340540184
NLinear,0.001552,65.95888590812683,0.49051425385210673,0.4968818503877805,0.49063445301327957,0.49027757115673903,0.49004825162812005,0.4910967396102881,0.49695398198964086,0.4970199179108157,0.49591474684941306,0.49763875480125214,1.02055392060617
RLinear,0.001584,95.93200254440308,0.49059434730541873,0.49718621631217885,0.49081576418385453,0.49048785740146544,0.4899594595617424,0.49111430807461265,0.4970549937944928,0.4970424295221062,0.4962343430075714,0.49841309892454505,1.0205987758106656
Autoformer,0.126736,258.7561047077179,0.4906505852984929,0.4975701463606686,0.49165756872452193,0.4903545802822204,0.48976116361784294,0.49082902856938626,0.49778695524795197,0.4975846760085772,0.49641433091953263,0.4984946232666126,1.011247743861844
StockMixer,0.010521,277.9823467731476,0.49072394000747127,0.4952548209037178,0.4909668570275163,0.4899854496806246,0.49099781229832284,0.49094564102342125,0.49511031860531607,0.4947474890513315,0.4958242328158182,0.4953372431424054,1.0095038727076366
Mean=0.5,0.0,0.0,0.4908036905309856,0.4933557495715001,0.4913383278340432,0.49049314689333956,0.490671282373782,0.49071200502277745,0.4936083617213073,0.49321249903724484,0.4933095245114516,0.4932926130159965,
SegRNN,0.025697,26.610129356384277,0.491129210558255,0.4953154031812022,0.49126663752100924,0.490959991781534,0.4911604012249011,0.4911298117055757,0.4951162651712891,0.495273921338575,0.4951822049788667,0.49568922123607795,1.011563449797004
PatchTST,0.069603,66.2082953453064,0.4912839195807649,0.49605955354244763,0.4917176940361785,0.4912211993983733,0.49099853684898415,0.4911982480395237,0.49624384695309515,0.4960458539369095,0.4956181000212525,0.4963304132585334,1.0152699315186702
TimeXer,0.109313,100.2616069316864,0.4917113603389396,0.4973246648114315,0.49184026793708135,0.491654240386044,0.49176907546924525,0.49158185756338757,0.4970214033704446,0.49722862390124145,0.49734845688870516,0.4977001750853347,1.0196088149090006
TimesNet,4.701265,181.6443841457367,0.4923254765723662,0.49720413458366264,0.49357057260068965,0.49189485407858,0.4923838226995453,0.49145265691064993,0.498232404009266,0.4963767131837009,0.497236173114662,0.4969712480270216,1.0182253339073875
iTransformer,0.073345,43.79015374183655,0.49449267931483254,0.5020610273788024,0.49604311850860644,0.49601115847918575,0.494068630901645,0.49184780936989275,0.5029019767211804,0.5033562529798169,0.5014725122078584,0.500513367606354,1.0422289817020147
Persistence,0.0,0.0,0.5054974021700029,0.7042271667251297,0.517567339865417,0.5053372142809884,0.5019587850797385,0.49712626945386784,0.7130716260705661,0.7038767683364199,0.701679629405889,0.6982806430876441,
