name,seq_len,lr,wd,epochs,patience,poly_only_loss,params_M,train_s,best_val_polymse,MAE_avg,RMSE_avg,MAE_btc,MAE_eth,MAE_sol,MAE_xrp,regime_dim,graph_hidden,linear_rank,num_bands,num_regimes
ctx_192,192,0.0008,0.0001,15,5,False,0.098757,117.65325117111206,1.0134524088352919,0.4870484470445854,0.49479403811271944,0.48491322895036976,0.4869208875031548,0.4890925803723664,0.4872670913524506,,,,,
baseline_default,96,0.0008,0.0001,15,5,False,0.073605,131.56766819953918,1.0032864542149786,0.4871472434052356,0.49507463324251494,0.48541181206758915,0.48679552082705574,0.48744151056119356,0.4889401301651037,,,,,
small_model,96,0.0008,0.0001,15,5,False,0.073605,146.27727699279785,1.0032864542149786,0.4871472434052356,0.49507463324251494,0.48541181206758915,0.48679552082705574,0.48744151056119356,0.4889401301651037,32.0,64.0,4.0,3.0,
wd_1e-3,96,0.0008,0.001,15,5,False,0.073605,145.09030961990356,1.0032773231392476,0.4871505571894135,0.49507345156241844,0.48541517333485024,0.48679999226217463,0.48744582461106994,0.4889412385495593,,,,,
regimes_2,96,0.0008,0.0001,15,5,False,0.073539,159.47210025787354,1.0002998487273258,0.487257144672952,0.49401224880356476,0.4872169811182793,0.4866101963601418,0.48758563665431925,0.48761576455906763,,,,,2.0
long_train,96,0.0008,0.0001,40,10,False,0.073605,142.08923292160034,1.0029659066627274,0.4872730119365462,0.49525640770600776,0.48558717043726396,0.486959168040457,0.48756493670520185,0.488980772563262,,,,,
big_model,96,0.0008,0.0001,15,5,False,0.299765,147.8830897808075,1.000890230954583,0.48786080223536477,0.4959469911173137,0.48669281023693395,0.48803041715831497,0.4889152115781266,0.48780476996808364,128.0,256.0,16.0,7.0,
lr_3e-4,96,0.0003,0.0001,15,5,False,0.073605,146.1091821193695,1.0067795488371778,0.48816745957797686,0.49495165198118624,0.48674606663872005,0.48811237251385176,0.48890159708587516,0.4889098020734604,,,,,
big_ctx192_polyloss,192,0.0008,0.0001,15,5,True,0.399797,88.31884145736694,1.0049878163263202,0.4882894322035421,0.4947902038514052,0.4872436920218297,0.4884288319173655,0.4885039868683892,0.488981218006584,128.0,256.0,16.0,7.0,
regimes_8,96,0.0008,0.0001,15,5,False,0.073737,106.4154646396637,1.0041567113862109,0.4883015656259474,0.49434858127346726,0.48753517662715334,0.4884605840189873,0.4893073357951702,0.4879031660624785,,,,,8.0
ctx_48,48,0.0008,0.0001,15,5,False,0.061029,131.482319355011,0.994469366211822,0.4883499832855385,0.49360365486753077,0.48780393883906165,0.4861775940283281,0.4893949545296458,0.4900234457451184,,,,,
small_polyloss_long,96,0.0008,0.0001,40,10,True,0.073605,160.67569947242737,0.9997648703518198,0.4886453938629093,0.4943149751775788,0.48754519265965357,0.4884083263224227,0.489200920187017,0.4894271362825441,32.0,64.0,4.0,3.0,
small_polyloss,96,0.0008,0.0001,15,5,True,0.073605,65.8136818408966,0.999729739196265,0.48864885199120134,0.49431289246504184,0.4875475471963833,0.4884140260757939,0.4892085263973199,0.48942530829530834,32.0,64.0,4.0,3.0,
poly_loss_only,96,0.0008,0.0001,15,5,True,0.073605,94.25092720985413,0.999729739196265,0.48864885199120134,0.49431289246504184,0.4875475471963833,0.4884140260757939,0.4892085263973199,0.48942530829530834,,,,,
small_polyloss_wd1e-3,96,0.0008,0.001,15,5,True,0.073605,93.27482485771179,0.9997271290465967,0.48864917088580384,0.494312114149652,0.48754792839859956,0.4884142824398574,0.4892084216224417,0.48942605108231685,32.0,64.0,4.0,3.0,
lr_1e-4,96,0.0001,0.0001,15,5,False,0.073605,198.28512406349182,1.0106126772823618,0.4888815290184431,0.4956031191656447,0.4883104518731658,0.48926312347169565,0.4890948447628298,0.48885769596608125,,,,,
tiny_polyloss,96,0.0008,0.0001,15,5,True,0.043249,93.43481802940369,1.0026703494698255,0.4892080051980324,0.49521306632398476,0.4880569630997824,0.48958788190059654,0.4898809644316557,0.489306211360095,16.0,32.0,2.0,3.0,2.0
poly_loss_only_lr3e-4,96,0.0003,0.0001,15,5,True,0.073605,93.6150848865509,0.9976982518808165,0.4893832292552304,0.4943242526442743,0.4885288486418294,0.48942704309978013,0.4900262323480279,0.4895507929312843,,,,,
small_polyloss_lr3e-4,96,0.0003,0.0001,15,5,True,0.073605,83.58012795448303,0.9976982518808165,0.4893832292552304,0.4943242526442743,0.4885288486418294,0.48942704309978013,0.4900262323480279,0.4895507929312843,32.0,64.0,4.0,3.0,
lr_3e-3,96,0.003,0.0001,15,5,False,0.073605,106.01941585540771,1.0124293005288536,0.48994014752474047,0.4977360507117696,0.489481202794771,0.49069380838216714,0.49118723742256326,0.4883983414994606,,,,,
