variant,params_M,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAE_btc_mean,MAE_eth_mean,MAE_sol_mean,MAE_xrp_mean,dMAE_vs_full
PRISM (full),0.073605,0.48812857869816884,0.0007103057752978892,0.4944359818790671,0.0006707122090961424,0.4868472096183245,0.4885120632604998,0.4887348087067654,0.48842023320708555,0.0
-all cross-channel,0.073605,0.4888238770132851,7.706332275700496e-05,0.49400829721087836,0.0004061963132123304,0.4884179535732474,0.48817721122110375,0.4888988855714755,0.48980145768731376,0.0006952983151162773
